Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-10-30,spotify,mechanical,6621600,"35,315.20","3,416.75","30,017.92",USD
2024-10-30,spotify,performance,4414400,"2,648.64","2,277.83","2,251.34",USD
2024-10-30,apple_music,mechanical,3050400,"35,588.00","3,367.64","30,249.80",USD
2024-10-30,apple_music,performance,2033600,"1,830.24","2,245.09","1,555.70",USD
2024-10-30,youtube,mechanical,1636800,"4,092.00",405.11,"3,478.20",USD
2024-10-30,youtube,performance,1091200,409.20,270.07,347.82,USD
2024-10-30,tiktok,mechanical,4612800,"6,150.40",615.81,"5,227.84",USD
2024-10-30,tiktok,performance,3075200,691.92,410.54,588.13,USD
2024-10-30,amazon_music,mechanical,1041600,"7,812.00",731.20,"6,640.20",USD
2024-10-30,amazon_music,performance,694400,312.48,487.47,265.61,USD
2024-10-30,deezer,mechanical,357120,"2,380.80",220.70,"2,023.68",USD
2024-10-30,deezer,performance,238080,71.42,147.13,60.71,USD
