Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-04-30,spotify,mechanical,5767200,"30,758.40","2,975.88","26,144.64",USD
2024-04-30,spotify,performance,3844800,"2,306.88","1,983.92","1,960.85",USD
2024-04-30,apple_music,mechanical,2656800,"30,996.00","2,933.11","26,346.60",USD
2024-04-30,apple_music,performance,1771200,"1,594.08","1,955.40","1,354.97",USD
2024-04-30,youtube,mechanical,1425600,"3,564.00",352.84,"3,029.40",USD
2024-04-30,youtube,performance,950400,356.40,235.22,302.94,USD
2024-04-30,tiktok,mechanical,4017600,"5,356.80",536.35,"4,553.28",USD
2024-04-30,tiktok,performance,2678400,602.64,357.57,512.24,USD
2024-04-30,amazon_music,mechanical,907200,"6,804.00",636.85,"5,783.40",USD
2024-04-30,amazon_music,performance,604800,272.16,424.57,231.34,USD
2024-04-30,deezer,mechanical,311040,"2,073.60",192.22,"1,762.56",USD
2024-04-30,deezer,performance,207360,62.21,128.15,52.88,USD
