Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-04-30,spotify,mechanical,4341600,"23,155.20","2,240.27","19,681.92",USD
2024-04-30,spotify,performance,2894400,"1,736.64","1,493.51","1,476.14",USD
2024-04-30,apple_music,mechanical,2073600,"24,192.00","2,289.25","20,563.20",USD
2024-04-30,apple_music,performance,1382400,"1,244.16","1,526.17","1,057.54",USD
2024-04-30,youtube,mechanical,1166400,"2,916.00",288.68,"2,478.60",USD
2024-04-30,youtube,performance,777600,291.60,192.46,247.86,USD
2024-04-30,tiktok,mechanical,2916000,"3,888.00",389.29,"3,304.80",USD
2024-04-30,tiktok,performance,1944000,437.40,259.52,371.79,USD
2024-04-30,amazon_music,mechanical,615600,"4,617.00",432.15,"3,924.45",USD
2024-04-30,amazon_music,performance,410400,184.68,288.10,156.98,USD
2024-04-30,deezer,mechanical,246240,"1,641.60",152.18,"1,395.36",USD
2024-04-30,deezer,performance,164160,49.25,101.45,41.86,USD
