Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-07-30,spotify,mechanical,4663199,"24,870.40","2,406.21","21,139.84",USD
2024-07-30,spotify,performance,3108799,"1,865.28","1,604.14","1,585.49",USD
2024-07-30,apple_music,mechanical,2227199,"25,983.99","2,458.83","22,086.39",USD
2024-07-30,apple_music,performance,1484799,"1,336.32","1,639.22","1,135.87",USD
2024-07-30,youtube,mechanical,1252799,"3,132.00",310.07,"2,662.20",USD
2024-07-30,youtube,performance,835199,313.20,206.71,266.22,USD
2024-07-30,tiktok,mechanical,3132000,"4,176.00",418.12,"3,549.60",USD
2024-07-30,tiktok,performance,2088000,469.80,278.75,399.33,USD
2024-07-30,amazon_music,mechanical,661200,"4,959.00",464.16,"4,215.15",USD
2024-07-30,amazon_music,performance,440800,198.36,309.44,168.61,USD
2024-07-30,deezer,mechanical,264479,"1,763.20",163.45,"1,498.72",USD
2024-07-30,deezer,performance,176319,52.90,108.97,44.96,USD
