Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-04-30,spotify,mechanical,2656800,"14,169.60","1,370.91","12,044.16",USD
2024-04-30,spotify,performance,1771200,"1,062.72",913.94,903.31,USD
2024-04-30,apple_music,mechanical,1231200,"14,364.00","1,359.24","12,209.40",USD
2024-04-30,apple_music,performance,820800,738.72,906.16,627.91,USD
2024-04-30,youtube,mechanical,712800,"1,782.00",176.42,"1,514.70",USD
2024-04-30,youtube,performance,475200,178.20,117.61,151.47,USD
2024-04-30,tiktok,mechanical,1814400,"2,419.20",242.22,"2,056.32",USD
2024-04-30,tiktok,performance,1209600,272.16,161.48,231.34,USD
2024-04-30,amazon_music,mechanical,401760,"3,013.20",282.04,"2,561.22",USD
2024-04-30,amazon_music,performance,267840,120.53,188.02,102.45,USD
2024-04-30,deezer,mechanical,162000,"1,080.00",100.12,918.00,USD
2024-04-30,deezer,performance,108000,32.40,66.74,27.54,USD
