Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-10-30,spotify,mechanical,3050400,"16,268.80","1,574.01","13,828.48",USD
2024-10-30,spotify,performance,2033600,"1,220.16","1,049.34","1,037.14",USD
2024-10-30,apple_music,mechanical,1413600,"16,492.00","1,560.61","14,018.20",USD
2024-10-30,apple_music,performance,942400,848.16,"1,040.41",720.94,USD
2024-10-30,youtube,mechanical,818400,"2,046.00",202.55,"1,739.10",USD
2024-10-30,youtube,performance,545600,204.60,135.04,173.91,USD
2024-10-30,tiktok,mechanical,2083200,"2,777.60",278.11,"2,360.96",USD
2024-10-30,tiktok,performance,1388800,312.48,185.40,265.61,USD
2024-10-30,amazon_music,mechanical,461280,"3,459.60",323.82,"2,940.66",USD
2024-10-30,amazon_music,performance,307520,138.38,215.88,117.63,USD
2024-10-30,deezer,mechanical,186000,"1,240.00",114.95,"1,054.00",USD
2024-10-30,deezer,performance,124000,37.20,76.63,31.62,USD
