Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-01-30,spotify,mechanical,7500000,"40,000.00","3,870.00","34,000.00",USD
2024-01-30,spotify,performance,5000000,"3,000.00","2,580.00","2,550.00",USD
2024-01-30,apple_music,mechanical,3120000,"36,400.00","3,444.48","30,940.00",USD
2024-01-30,apple_music,performance,2080000,"1,872.00","2,296.32","1,591.20",USD
2024-01-30,youtube,mechanical,1860000,"4,650.00",460.35,"3,952.50",USD
2024-01-30,youtube,performance,1240000,465.00,306.90,395.25,USD
2024-01-30,tiktok,mechanical,5100000,"6,800.00",680.85,"5,780.00",USD
2024-01-30,tiktok,performance,3400000,765.00,453.90,650.25,USD
2024-01-30,amazon_music,mechanical,1080000,"8,100.00",758.16,"6,885.00",USD
2024-01-30,amazon_music,performance,720000,324.00,505.44,275.40,USD
2024-01-30,deezer,mechanical,372000,"2,480.00",229.90,"2,108.00",USD
2024-01-30,deezer,performance,248000,74.40,153.26,63.24,USD
