Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-07-30,spotify,mechanical,8699999,"46,400.00","4,489.20","39,440.00",USD
2024-07-30,spotify,performance,5799999,"3,480.00","2,992.80","2,958.00",USD
2024-07-30,apple_music,mechanical,3619200,"42,224.00","3,995.60","35,890.40",USD
2024-07-30,apple_music,performance,2412800,"2,171.52","2,663.73","1,845.79",USD
2024-07-30,youtube,mechanical,2157599,"5,394.00",534.01,"4,584.90",USD
2024-07-30,youtube,performance,1438399,539.40,356.00,458.49,USD
2024-07-30,tiktok,mechanical,5916000,"7,888.00",789.79,"6,704.80",USD
2024-07-30,tiktok,performance,3944000,887.40,526.52,754.29,USD
2024-07-30,amazon_music,mechanical,1252799,"9,396.00",879.47,"7,986.60",USD
2024-07-30,amazon_music,performance,835199,375.84,586.31,319.46,USD
2024-07-30,deezer,mechanical,431520,"2,876.80",266.68,"2,445.28",USD
2024-07-30,deezer,performance,287680,86.30,177.79,73.36,USD
