Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-10-30,spotify,mechanical,5356800,"28,569.60","2,764.11","24,284.16",USD
2024-10-30,spotify,performance,3571200,"2,142.72","1,842.74","1,821.31",USD
2024-10-30,apple_music,mechanical,2604000,"30,380.00","2,874.82","25,823.00",USD
2024-10-30,apple_music,performance,1736000,"1,562.40","1,916.54","1,328.04",USD
2024-10-30,youtube,mechanical,2083200,"5,208.00",515.59,"4,426.80",USD
2024-10-30,youtube,performance,1388800,520.80,343.73,442.68,USD
2024-10-30,tiktok,mechanical,3794400,"5,059.20",506.55,"4,300.32",USD
2024-10-30,tiktok,performance,2529600,569.16,337.70,483.79,USD
2024-10-30,amazon_music,mechanical,818400,"6,138.00",574.52,"5,217.30",USD
2024-10-30,amazon_music,performance,545600,245.52,383.01,208.69,USD
2024-10-30,deezer,mechanical,312480,"2,083.20",193.11,"1,770.72",USD
2024-10-30,deezer,performance,208320,62.50,128.74,53.12,USD
