Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-07-30,spotify,mechanical,5011199,"26,726.40","2,585.78","22,717.44",USD
2024-07-30,spotify,performance,3340799,"2,004.48","1,723.85","1,703.81",USD
2024-07-30,apple_music,mechanical,2435999,"28,419.99","2,689.34","24,156.99",USD
2024-07-30,apple_music,performance,1623999,"1,461.60","1,792.90","1,242.36",USD
2024-07-30,youtube,mechanical,1948800,"4,872.00",482.33,"4,141.20",USD
2024-07-30,youtube,performance,1299200,487.20,321.55,414.12,USD
2024-07-30,tiktok,mechanical,3549600,"4,732.80",473.87,"4,022.88",USD
2024-07-30,tiktok,performance,2366400,532.44,315.91,452.57,USD
2024-07-30,amazon_music,mechanical,765600,"5,742.00",537.45,"4,880.70",USD
2024-07-30,amazon_music,performance,510400,229.68,358.30,195.23,USD
2024-07-30,deezer,mechanical,292319,"1,948.80",180.65,"1,656.48",USD
2024-07-30,deezer,performance,194879,58.46,120.44,49.69,USD
